No,prompt,affiliations,department,occupation,employment_type,lastname,firstname,employee_number,employee_number_range,status,exclude
1,田町に所属する従業員を表示してください。,"[""田町""]",,,,,,,,,
2,田町かつ人事部に所属する従業員を表示してください。,"[""田町""]","[""人事部""]",,,,,,,,
3,営業の従業員を表示してください。,,,"[""営業""]",,,,,,
4,指定なしの従業員を除き、姓が田中の従業員を表示してください。,,,,,"[""田中""]",,,,"[""指定なし""]","[""7""]"
5,田町の人事部に所属している営業の従業員で、使用人兼務役員の契約をしている方を表示してください。,"[""田町""]","[""人事部""]","[""営業""]","[""使用人兼務役員""]",,,,,,
6,田町の人事部に所属し、職種が営業で契約種別が契約社員かつ在籍状況が指定なしの従業員を検索してください。,"[""田町""]","[""人事部""]","[""営業""]","[""契約社員""]",,,,,"[""指定なし""]",
7,A1からA2の間に在籍中の従業員を探してください。,,,,,,,,"[""A1"",""A2""]","[""在籍中""]",
8,A1の従業員を表示してください。,,,,,,,"[""A1""]",,,
9,田町の事業所で、A1からA2までの従業員を検索してください。,"[""田町""]",,,,,,,"[""A1"",""A2""]",,
10,人事部または広報部に所属している退職済みの指定なしの従業員を検索してください。,,"[""人事部"",""広報部""]",,"[""指定なし""]",,,,,"[""退職済み""]",
11,池袋に所属する従業員を表示してください。,"[""池袋""]",,,,,,,,,
12,田町かつ広報部に所属する従業員を表示してください。,"[""田町""]","[""広報部""]",,,,,,,,
13,田町かつIT部に所属する従業員を表示してください。,"[""田町""]","[""IT部""]",,,,,,,,
14,池袋かつ人事部に所属する従業員を表示してください。,"[""池袋""]","[""人事部""]",,,,,,,,
15,池袋かつ広報部に所属する従業員を表示してください。,"[""池袋""]","[""広報部""]",,,,,,,,
16,池袋かつIT部に所属する従業員を表示してください。,"[""池袋""]","[""IT部""]",,,,,,,,
17,人事の従業員を表示してください。,,,"[""人事""]",,,,,,,
18,経理の従業員を表示してください。,,,"[""経理""]",,,,,,,
19,開発の従業員を表示してください。,,,"[""開発""]",,,,,,,
20,退職済みの従業員を除き、姓が上田の従業員を表示してください。,,,,,"[""上田""]",,,,"[""退職済み""]","[""7""]"
21,指定なしの従業員を除き、姓が佐藤の従業員を表示してください。,,,,,"[""佐藤""]",,,,"[""指定なし""]","[""7""]"
22,在籍中の従業員を除き、姓が境の従業員を表示してください。,,,,,"[""境""]",,,,"[""在籍中""]","[""7""]"
23,退職済みの従業員を除き、姓が上田の従業員を表示してください。,,,,,"[""上田""]",,,,"[""退職済み""]","[""7""]"
24,田町の人事部に所属している営業の従業員で、パートの契約をしている方を表示してください。,"[""田町""]","[""人事部""]","[""営業""]","[""パート""]",,,,,,
25,池袋のIT部に所属している経理の従業員で、その他の契約をしている方を表示してください。,"[""池袋""]","[""IT部""]","[""経理""]","[""その他""]",,,,,,
26,池袋の広報部に所属している営業の従業員で、アルバイトの契約をしている方を表示してください。,"[""池袋""]","[""広報部""]","[""営業""]","[""アルバイト""]",,,,,,
27,田町の人事部に所属し、職種が人事で契約種別が指定なしかつ在籍状況が指定なしの従業員を検索してください。,"[""田町""]","[""人事部""]","[""人事""]","[""指定なし""]",,,,,"[""指定なし""]",
28,池袋のIT部に所属し、職種が開発で契約種別が役員かつ在籍状況が在籍中の従業員を検索してください。,"[""池袋""]","[""IT部""]","[""開発""]","[""役員""]",,,,,"[""在籍中""]",
29,A1からC3の間に退職済みの従業員を探してください。,,,,,,,,"[""A1"", ""C3""]","[""退職済み""]",
30,A2からB1の間に指定なしの従業員を探してください。,,,,,,,,"[""A2"",""B1""]","[""指定なし""]",
31,B1の従業員を表示してください。,,,,,,,"[""B1""]",,,
32,池袋の事業所で、A1からC3までの従業員を検索してください。,"[""池袋""]",,,,,,,"[""A1"",""C3""]",,
33,広報部またはIT部に所属している在籍中の使用人兼務役員の従業員を検索してください。,,"[""広報部"",""IT部""]",,"[""使用人兼務役員""]",,,,,"[""在籍中""]",
34,D01 の従業員を表示してください。,,,,,,,"[""D01""]",,,
35,広報部 に所属する従業員を表示してください。,,"[""広報部""]",,,,,,,,
36,退職済み の従業員を表示してください。,,,,,,,,,"[""退職済み""]",
37,人事部 かつ 開発 の従業員を表示してください。,,"[""人事部""]","[""開発""]",,,,,,,
38,田町 かつ 苗字が 上田 の従業員を表示してください。,"[""田町""]",,,,"[""上田""]",,,,,
39,境 修二 の従業員を表示してください。,,,,,"[""境""]","[""修二""]",,,,
40,本社 の 広報部 に所属し、苗字が 境 で、在籍状況が 指定なし の従業員を表示してください。,"[""本社""]","[""広報部""]",,,"[""境""]",,,,"[""指定なし""]"
41,事業所 が 田町 または 池袋 に所属する従業員を表示してください。,"[""田町"", ""池袋""]",,,,,,,,,
42,本社 に所属し、部門が 人事部 または IT部 で、在籍中 の従業員を表示してください。,"[""本社""]","[""人事部"", ""IT部""]",,,,,,,"[""在籍中""]",
43,指定なしの従業員を除き、退職済みの従業員を表示してください。,,,,"[""指定なし""]",,,,,"[""退職済み""]","[""3""]"
44,本社の広報部に所属している開発の従業員を表示してください。,"[""本社""]","[""広報部""]","[""開発""]",,,,,,,
45,人事部 に所属している正社員の従業員を表示してください。,,"[""人事部""]",,"[""正社員""]",,,,,,
46,田町 の IT部 に所属し、在籍状況が 退職済み の従業員を表示してください。,"[""田町""]","[""IT部""]",,,,,,,"[""退職済み""]",
47,部門が 人事部 または IT部 で、役員 の従業員を表示してください。,,"[""人事部"", ""IT部""]",,"[""役員""]",,,,,,
48,部門が人事部またはIT部の従業員を除き、在籍中の従業員を表示してください。,,"[""人事部"", ""IT部""]",,,,,,,"[""在籍中""]","[""1""]"
49,田中さんを表示してください。,,,,,"[""田中""]",,,,,
50,人事部 に所属する上田さんを表示してください。,,"[""人事部""]",,,"[""上田""]",,,,,
51,人事の佐藤さんを表示してください。,,,"[""人事""]",,"[""佐藤""]",,,,,
52,従業員番号がN1008の上田さんを表示してください。,,,,,"[""上田""]",,"[""N1008""]",,,
53,指定なしの佐藤さんを表示してください。,,,,,"[""佐藤""]",,,,"[""指定なし""]",